iter	Logloss
0	0.6921120492
1	0.6910173314
2	0.6902116296
3	0.6893290296
4	0.6885884535
5	0.6877891238
6	0.6870394215
7	0.6863880018
8	0.6858272506
9	0.6853498237
10	0.6849496188
11	0.6845129089
12	0.684108978
13	0.6836818804
14	0.6831821508
15	0.6828499878
16	0.6824113879
17	0.6821261522
18	0.6818163458
19	0.6814843448
20	0.681271417
21	0.6810218222
22	0.680756837
23	0.6804747334
24	0.6801918197
25	0.6799303986
26	0.6797180108
27	0.6794544297
28	0.679136145
29	0.6789011307
30	0.6786849088
31	0.6784544845
32	0.6782641294
33	0.6780690221
34	0.6778686226
35	0.6777008941
36	0.6775004407
37	0.6773213718
38	0.6771695197
39	0.6770013591
40	0.6768340086
41	0.6767445821
42	0.6765368385
43	0.6763619278
44	0.6761967913
45	0.6760516893
46	0.6759352622
47	0.6758841768
48	0.6756600167
49	0.6755269571
50	0.6753832052
51	0.6752531157
52	0.675155157
53	0.6750094071
54	0.6749096123
55	0.6747678585
56	0.6745987259
57	0.6744352635
58	0.6742899455
59	0.6741067186
60	0.6739429321
61	0.6737659693
62	0.6735615738
63	0.6734315382
64	0.6732715859
65	0.6731238379
66	0.6730634643
67	0.6729344007
68	0.672833742
69	0.672760138
70	0.6726780018
71	0.6726009957
72	0.6725109213
73	0.6724044304
74	0.6722926473
75	0.6721555376
76	0.6720280402
77	0.6718887704
78	0.6718147344
79	0.6717194218
80	0.6716598582
81	0.6716059647
82	0.6714885655
83	0.6713821826
84	0.6713037725
85	0.6712431829
86	0.6711232996
87	0.6710596859
88	0.6710134066
89	0.6709190121
90	0.6708515642
91	0.6707826584
92	0.6707154805
93	0.6706453866
94	0.6705218853
95	0.6704477413
96	0.6703704112
97	0.6703020453
98	0.6702250392
99	0.6701409589
100	0.6700617388
101	0.6699847327
102	0.669883318
103	0.6698186242
104	0.6697163994
105	0.669627891
106	0.6695446208
107	0.6694983955
108	0.6693834264
109	0.6693067983
110	0.6692115937
111	0.6691409598
112	0.6690091422
113	0.6689533047
114	0.6688971972
115	0.6688090128
116	0.6687623555
117	0.6686761692
118	0.6685791826
119	0.6685069826
120	0.6683965496
121	0.6683315318
122	0.6682681341
123	0.6682010103
124	0.6681505729
125	0.6680742689
126	0.6680081171
127	0.6679419653
128	0.6678511348
129	0.6677938393
130	0.6677277415
131	0.6676652078
132	0.6675481866
133	0.6674946171
134	0.6674338115
135	0.6673124702
136	0.6672405402
137	0.6671615361
138	0.6670567733
139	0.666972639
140	0.6669232276
141	0.6668799185
142	0.6668087985
143	0.6667259603
144	0.6666639666
145	0.6665919286
146	0.6665337691
147	0.6664447206
148	0.6663334776
149	0.6662628977
150	0.6662098143
151	0.6661400444
152	0.666053318
153	0.6659882463
154	0.6658754372
155	0.6658087994
156	0.6657596581
157	0.6656958283
158	0.6655963576
159	0.6655305838
160	0.6654484476
161	0.6653396887
162	0.6652673807
163	0.6652209394
164	0.6651399372
165	0.6650858278
166	0.6650170299
167	0.6649231754
168	0.6648819722
169	0.6648133904
170	0.6647563108
171	0.6646931831
172	0.6646272473
173	0.6645755139
174	0.664540845
175	0.6644554147
176	0.6643880748
177	0.6643252711
178	0.6642537192
179	0.66420987
180	0.6641104533
181	0.6640342032
182	0.6640051504
183	0.6639450468
184	0.6638699848
185	0.6638222475
186	0.6637410293
187	0.6636992861
188	0.6636149359
189	0.663547974
190	0.6634607617
191	0.6633673931
192	0.6632791547
193	0.6631725559
194	0.6631181764
195	0.6630701691
196	0.6630215678
197	0.6629544979
198	0.6629164809
199	0.6628241384
200	0.6627599847
201	0.6626773624
202	0.662625737
203	0.6625373906
204	0.6625001296
205	0.6624010909
206	0.6623409333
207	0.6622607951
208	0.6622262342
209	0.6621422619
210	0.6620861004
211	0.6620235127
212	0.6619560108
213	0.6618381796
214	0.6617673297
215	0.6617292047
216	0.6616609468
217	0.6615983051
218	0.661521407
219	0.6614748578
220	0.6614274985
221	0.6613394221
222	0.6612344433
223	0.6611791998
224	0.6610982516
225	0.6610104992
226	0.6609214508
227	0.6608660993
228	0.6607671146
229	0.6607135991
