iter	Passed	Remaining
0	65	65586
1	74	37037
2	82	27472
3	93	23308
4	102	20344
5	110	18251
6	117	16698
7	125	15589
8	134	14784
9	144	14292
10	152	13754
11	160	13235
12	168	12775
13	176	12399
14	186	12218
15	198	12188
16	209	12124
17	221	12064
18	233	12043
19	246	12071
20	260	12164
21	269	11974
22	277	11778
23	286	11670
24	295	11538
25	303	11385
26	311	11239
27	319	11108
28	328	10987
29	336	10872
30	344	10767
31	352	10674
32	361	10579
33	369	10498
34	377	10409
35	387	10366
36	397	10349
37	405	10265
38	413	10187
39	421	10111
40	430	10069
41	442	10090
42	453	10095
43	461	10035
44	470	9978
45	480	9964
46	492	9994
47	500	9923
48	510	9901
49	518	9846
50	527	9819
51	537	9790
52	549	9822
53	560	9817
54	571	9821
55	584	9846
56	594	9840
57	602	9789
58	610	9744
59	620	9716
60	630	9700
61	638	9666
62	646	9621
63	656	9601
64	664	9560
65	672	9523
66	680	9481
67	691	9481
68	700	9445
69	708	9409
70	718	9399
71	729	9399
72	741	9410
73	749	9385
74	758	9353
75	766	9323
76	775	9296
77	784	9278
78	795	9273
79	806	9280
80	816	9259
81	825	9243
82	839	9272
83	849	9262
84	858	9241
85	867	9215
86	876	9197
87	889	9218
88	898	9198
89	907	9179
90	915	9149
91	925	9130
92	937	9140
93	945	9117
94	954	9095
95	963	9070
96	971	9042
97	979	9017
98	988	8995
99	996	8969
100	1005	8947
101	1015	8936
102	1024	8922
103	1033	8902
104	1041	8881
105	1051	8869
106	1061	8856
107	1072	8857
108	1083	8854
109	1093	8848
110	1103	8838
111	1112	8819
112	1124	8826
113	1135	8824
114	1144	8810
115	1155	8808
116	1165	8795
117	1174	8781
118	1185	8776
119	1195	8765
120	1207	8768
121	1219	8775
122	1229	8766
123	1241	8773
124	1268	8879
125	1302	9038
126	1315	9042
127	1326	9034
128	1338	9038
129	1350	9039
130	1371	9094
131	1382	9088
132	1392	9077
133	1404	9074
134	1415	9068
135	1427	9065
136	1437	9053
137	1446	9035
138	1456	9022
139	1468	9022
140	1478	9008
141	1488	8992
142	1499	8983
143	1509	8974
144	1522	8977
145	1537	8993
146	1549	8989
147	1560	8985
148	1574	8990
149	1584	8977
150	1594	8965
151	1604	8949
152	1614	8937
153	1626	8935
154	1639	8938
155	1652	8940
156	1664	8937
157	1676	8932
158	1686	8923
159	1697	8912
160	1707	8896
161	1717	8883
162	1730	8883
163	1745	8895
164	1757	8894
165	1767	8880
166	1777	8867
167	1788	8855
168	1800	8852
169	1811	8844
170	1821	8830
171	1831	8814
172	1840	8796
173	1850	8784
174	1860	8769
175	1869	8751
176	1879	8738
177	1888	8722
178	1898	8706
179	1908	8693
180	1917	8678
181	1928	8666
182	1937	8650
183	1947	8636
184	1957	8622
185	1966	8604
186	1975	8589
187	1984	8571
188	1993	8555
189	2002	8536
190	2011	8520
191	2021	8506
192	2031	8493
193	2042	8486
194	2056	8491
195	2068	8484
196	2079	8475
197	2089	8464
198	2099	8451
199	2109	8437
200	2121	8431
201	2130	8417
202	2140	8405
203	2152	8398
204	2161	8382
205	2171	8369
206	2180	8354
207	2192	8348
208	2203	8338
209	2212	8322
210	2221	8308
211	2232	8298
212	2242	8283
213	2251	8268
214	2263	8263
215	2273	8253
216	2283	8238
217	2291	8221
218	2303	8213
219	2314	8205
220	2325	8198
221	2338	8194
222	2351	8193
223	2365	8195
224	2386	8220
225	2435	8342
226	2452	8351
227	2475	8381
228	2488	8379
229	2499	8368
230	2509	8352
231	2519	8341
232	2529	8326
233	2540	8315
234	2552	8309
235	2566	8308
236	2576	8294
237	2585	8279
238	2598	8272
239	2609	8261
240	2620	8253
241	2631	8242
242	2643	8233
243	2654	8225
244	2664	8212
245	2674	8197
246	2684	8184
247	2697	8179
248	2707	8166
249	2720	8161
250	2730	8149
251	2741	8138
252	2755	8137
253	2767	8129
254	2777	8113
255	2789	8106
256	2799	8093
257	2808	8078
258	2818	8063
259	2827	8047
260	2837	8034
261	2847	8019
262	2856	8003
263	2865	7989
264	2874	7973
265	2884	7959
266	2894	7945
267	2903	7929
268	2911	7913
269	2920	7897
270	2929	7881
271	2938	7864
272	2947	7849
273	2956	7833
274	2965	7818
275	2974	7802
276	2983	7787
277	2994	7777
278	3004	7764
279	3014	7751
280	3024	7737
281	3034	7726
282	3047	7721
283	3061	7718
284	3071	7705
285	3084	7700
286	3101	7703
287	3111	7693
288	3120	7678
289	3130	7664
290	3142	7655
291	3152	7642
292	3161	7627
293	3169	7611
294	3177	7594
295	3187	7579
296	3196	7565
297	3204	7548
298	3213	7533
299	3221	7517
300	3230	7501
301	3238	7485
302	3247	7469
303	3256	7454
304	3264	7438
305	3273	7423
306	3281	7407
307	3290	7393
308	3301	7382
309	3310	7369
310	3319	7354
311	3328	7340
312	3342	7337
313	3353	7325
314	3363	7313
315	3438	7443
316	3454	7442
317	3470	7442
318	3479	7427
319	3489	7415
320	3498	7401
321	3510	7392
322	3521	7381
323	3529	7364
324	3538	7348
325	3547	7333
326	3555	7318
327	3564	7303
328	3573	7287
329	3581	7271
330	3590	7256
331	3599	7241
332	3607	7226
333	3616	7211
334	3625	7197
335	3633	7180
336	3641	7164
337	3652	7153
338	3662	7141
339	3670	7126
